Database Name,URL,Description
Ethnologue: Languages of the World,https://libguides.asu.edu/ethnologue,"A comprehensive, authoritative and up-to-date resource spoken languages. Provides an individual profile of 7,000+ languages, individual country overviews, maps of where each language is spoken, a powerful search tool, cross-referencing, and is updated regularly."
EuroDocs: Online Sources for European History,https://libguides.asu.edu/eurodocsweurope,Collection of primary sources documenting Western European history.
Europa Sacra,https://libguides.asu.edu/europa-sacra,"Searchable Latin editions of episcopal records and ecclesiastical sources, tracing church structures and clergy across Europe from late antiquity to the early modern era."
European Views of the Americas: 1493 to 1750,https://libguides.asu.edu/euroviewsam14931750,"Bibliographic guide to printed records about the Americas written in Europe before 1750, European Views of the Americas covers the history of European exploration as well as European portrayals of Native Americans. Includes texts in English, German, French, Spanish, Polish and Scandinavian."
Europeana,https://libguides.asu.edu/europeana,"Multilingual digital portal that aggregates cultural heritage items from European libraries, archives, and museums, allowing users to search and explore various media such as books, images, sounds, and maps."
experts.asu.edu,https://libguides.asu.edu/expertsasuedu,"Arizona State University's expertise profiling system catalogs and makes searchable the competencies of tenured, tenure-track, and select research faculty and staff based on their scholarly works."
Family Studies Abstracts,https://libguides.asu.edu/familystudies,"Covers the major journals in the field of family studies; topics include marriage, divorce, family therapy, children, parenthood, and more."
Fashion Studies Online: The Videofashion Library,https://libguides.asu.edu/fsa-videofashion,"Stream archival fashion videos featuring runway shows, designer profiles, and industry trends from the 1970s through the early 2010s."
Feminism in Cuba: Nineteenth through Twentieth Century Archival Documents,https://libguides.asu.edu/feminismcuba1920,"Explores Cuban feminism from independence to the end of the Batista regime, featuring primary sources like letters, essays, broadcasts, and memoirs from 1898-1958, organized into feminist works, men's views on women, and feminist literature​. This collection was initially gathered by historian K. Lynn Stoner from Arizona State University​"
Feminist Periodicals,https://libguides.asu.edu/feministperios,Archive of feminist periodicals and academic journals covering various subjects.
FIAF International Index to Film Periodicals Database,https://libguides.asu.edu/fiaffilm,"Coverage:1972+Maximum Concurrent Users:UnlimitedThis database contains over 500,000 article citations from more than 345 periodicals. It offers in-depth coverage of the world's foremost academic and popular film journals, many of which are seamlessly linked to a growing library of film journals. Each entry consists of a full bibliographic description, an abstract and comprehensive headings (biographical names, film titles and general subjects). Also included is The Treasures from the Film Archives dataset; a database containing credits and holdings information about the silent-era film holdings of film archives from around the world."
Film Platform,https://libguides.asu.edu/filmplatform,"Critically acclaimed educational documentary films from around the globe, specifically designed to serve academic institutions."
Film Scripts Online,https://libguides.asu.edu/amerfilmscripts,"Access authorized versions of over 1,000 screenplays with details about writers and characters. Researchers can browse by title or search by character, scene, nationality, age, subject, or year."
Filmakers Library Online,https://libguides.asu.edu/filmakerslib,"Curated streaming collection offering independent documentaries from around the world that explore social, political and cultural themes across disciplines."
Films on Demand,https://libguides.asu.edu/filmsondemand,A collection of high-quality educational streaming videos organized by subject. Each title features Individual Learning Objects that break down the content into smaller segments.
First Folios Compared,https://libguides.asu.edu/firstfolios,"Explore digitized copies of Shakespeare’s First Folio across various institutions, featuring detailed facsimiles, metadata tagging, and comparison tools."
First Research,https://libguides.asu.edu/firstresearch,"Concise industry profiles with key trends, challenges, financial benchmarks, and insights for business planning and market research across various sectors."
Fortunoff Video Archive Archive for Holocaust Testimonies,https://libguides.asu.edu/fortunoff,"Unique collection of firsthand video interviews with survivors, witnesses and liberators of the Holocaust, allowing scholars to explore and interpret individual lives and broader historical experience."
Forum of Federations,https://libguides.asu.edu/forumfeds,Resource on federalism and related ideas and experiences.
Foundation Directory Online,https://libguides.asu.edu/foundationdir,"Coverage:Updated continuallyMaximum Concurrent Users:UnlimitedFoundation Directory Online provides the most accurate details available on U.S. funders and their grants. It includes over 96,000 U.S. foundations and corporate donors, 1.5 million recent grants, and more than 400,000 key decision makers. Please Note:  In order to better assist you, please contact the Office of Corporate and Foundation Relations (OCFR) prior to advancing a proposal to any donor/funder listed in this resource.  Please contact OCFR at OCFRgrants@asu.edu"
Funk & Wagnalls New World Encyclopedia,https://libguides.asu.edu/funkwagnalls,"General reference encyclopedia featuring searchable, full-text articles, images, and brief biographies covering a broad range of subjects."
Globethics Repository,https://libguides.asu.edu/globethics,"Open-access repository for scholarly resources on ethics, focusing on responsible governance, ethics in higher education, digital technologies, and inclusive peace."
Gale Directory Library,https://libguides.asu.edu/galedirect,"Online compendium of directories on companies, publishers, associations, etc. in which the user can perform a range of data searching, sorting and exporting. Users can access data from a single directory, or cross-search multiple directories. Includes content from Gale Ready Reference, & Gale Research Centers Directory among other Gale resources."
Gale eBooks,https://libguides.asu.edu/galevirtual,"A searchable collection of cross-curricular nonfiction titles, including encyclopedias, almanacs, and specialized references for multidisciplinary research."
Gale Literary Index,https://libguides.asu.edu/litindex,"A master index to major literature products published by Gale, offering quick and easy access to author and title listings from over 130 literature products, including biographies and critical essays from various imprints."
Gale Literature,https://libguides.asu.edu/gale-literature,"An integrated research platform that allows researchers to cross-search Gale’s premier literary databases, providing access to extensive literary commentary, biographical information on over 130,000 writers, and a vast collection of full-text poems, stories, and plays."
Gale Literature Criticism,https://libguides.asu.edu/litcriticism,"Centuries of literary analysis, including scholarly and popular commentary from broadsheets, pamphlets, encyclopedias, books, and periodicals, covering children's literature, classic and medieval works, drama, and literature from the 1400s to the 20th century."
Gale Literature Resource Center,https://libguides.asu.edu/litresourcectr,"Includes biographies, bibliographies, and critical analyses of authors from all literary disciplines, providing full-text access to journals, primary works, up-to-date analysis, and reviews to support literary research and critical thinking."
Gale Power Search,https://libguides.asu.edu/gale-powersearch,"Cross-search content from select Gale products, including Gale's OneFile periodicals, In Context products, and/or eBooks."
Gale Primary Sources,https://libguides.asu.edu/gale-primary-sources,Provides an integrated research environment that allows users to search and analyze content across all ASU Library's Gale Primary Source collections using advanced tools and intuitive subject indexing.
GeoScienceWorld,https://libguides.asu.edu/geoscienceworld,"GeoScienceWorld is a nonprofit collaborative and comprehensive resource for research and communications in the earth sciences. Searchable full text is integrated with GeoRef, a comprehensive indexing and abstracting database for information from geosciences journals, conference, dissertation and other resources. Coverage for GSW journals is mostly 2000 to present, with records from GeoRef covering geosciences literature from the late 1700's to present. Advanced search capabilities, including geographic searching by latitude and longitude, variety of options for limiting results sets, and other features are available."
Global Environmental Justice Collection,https://libguides.asu.edu/docuseek-gej,"Documentaries exploring environmental justice, human rights, and development, focusing on underreported stories from Asia and North America, with teaching guides included."
Global Newsstream,https://libguides.asu.edu/globalnewsstream,"Explore a vast collection of global news, including recent articles and archives dating back to the 1980s."
Global Press Archive,https://libguides.asu.edu/gpa,"Global news sources in over 30 languages featuring thousands of newspaper titles in full-image and full-text formats, many as first-ever digital editions. Some titles areopen accessand freely available."
Global Terrorism Database,https://libguides.asu.edu/globalterrorism,"Open source database of terrorism events since 1970, published by the University of Maryland's National Consortium for the Study of Terrorism and Responses to Terrorism (START)."
Global Think Tanks,https://libguides.asu.edu/pc-gtt,"Find timely global policy research and analysis from international and domestic think tanks, NGOs, and IGOs, with a focus on grey literature and underrepresented perspectives."
Godey’s Lady’s Book: 1830-1898,https://libguides.asu.edu/godeysladys,"Full-text collection from a leading 19th-century women’s magazine includes fiction, poetry, essays, reviews, music, and fashion illustrations, along with digital images of advertisements and artwork, offering a rich resource for studying women's history and culture."
Google Arts & Culture,https://libguides.asu.edu/google-artsculture,"An immersive digital platform connecting users to global art, history and culture through high-resolution images, virtual museum tours and interactive experiments powered by Google’s creative technology."
Google Patents,https://libguides.asu.edu/googlepatents,"Search international patents, technical papers, and books in one place, with translated full text, classifications, citations, and prior art indexing."
Google Scholar (with Library Links),https://libguides.asu.edu/googlescholar,"Find scholarly literature, including peer-reviewed journal articles, books, theses and dissertations, conference papers, pre-prints, technical reports, and other publications for all research disciplines. The link enables ASU affiliates to include ASU Library’s full text and InterLibrary Loan Services in a search."
GovInfo,https://libguides.asu.edu/fdsys,"Free access to official government publications from all branches of the Federal Government, provided by the Government Publishing Office (GPO). Search by keyword or browse by category, author, or committee."
GreenFILE,https://libguides.asu.edu/greenfile,"Search scholarly, government, and general-interest content on human impacts on the environment. Includes topics such as climate change, renewable energy, pollution, green building, and sustainable agriculture."
GuideStar Pro,https://libguides.asu.edu/guidestarpro,"Access information on millions of nonprofit organizations. Users can search, compare, and analyze organizations, filtering by size, revenue, location, and other features."
Handbook of Latin American Studies (HLAS),https://libguides.asu.edu/hlas,"Annotated bibliography on Latin America, edited by the Library of Hispanic Division, alternates annually between social sciences and humanities, providing essential resources for Latin Americanists."
Harper's Bazaar Archive,https://libguides.asu.edu/harpersbazaar,"A comprehensive archive offers digitized versions of the U.S. and U.K. editions of Harper's Bazaar from 1867 to present, featuring high-resolution images and searchable texts, providing deep insights and detailed indexing of over 150 years of fashion, culture, and societal trends."
Harper's Weekly: 1857-1912,https://libguides.asu.edu/harpweek18571877,"Indexes full-text of Harper's Weekly, probably the only consistent, comprehensive, weekly chronological record of world-wide events of the late 19th century. Covers front-line Civil War reports, the re-election of Lincoln, & Reconstruction.Coverage:1857-1877"
HathiTrust Digital Library,https://libguides.asu.edu/hathitrustdl,"Find digitized books, journals, and government documents with full-text search and access to public domain materials from academic and research institutions."
Hayden Pioneer Biographies,https://libguides.asu.edu/haydenazpioneer,"Pioneer biographies compiled by Senator Carl Hayden, including names from the 1860, 1864, and 1870 U.S. Censuses for Arizona and New Mexico territories."
Health and Psychosocial Instruments,https://libguides.asu.edu/healthinstru,"Offers information on tests and psychosocial measurement tools used in psychology, nursing, public health, social work, communication, and other behavioral sciences. Full texts of the instruments are not included."
HeinOnline,https://libguides.asu.edu/heinonline,"Offers PDF full text of law reviews and journals, historical federal documents, classic legal texts from the 17th to early 20th centuries, U.S. treaties, Supreme Court cases in U.S. Reports, and Attorney General opinions."
Hemispheric Institute,https://libguides.asu.edu/hemispherperf,"Maximum Concurrent Users:UnlimitedThe Hemispheric Institute website houses a vast collection of invaluable materials related to performance in the Americas, including online archives of hundreds of hours of video footage; a series of multimedia casebooks devoted to specific artists, companies or themes; as well as curated pedagogical modules that include scholarly texts, course syllabi, interviews, image galleries, and more. Materials are in English, Spanish and Portuguese."
Hispanic American Newspapers,https://libguides.asu.edu/hispanicamnews,Coverage:1808-1980Maximum Concurrent Users:UnlimitedHispanic American Newspapers provides access to a wealth of historical primary source materials. It's the largest online collection of Spanish-English newspapers printed in the United States.
Hispanic American Periodicals Index,https://libguides.asu.edu/hispanicamperio,"Indexes information on Central and South America, Mexico, the Caribbean, the U.S.-Mexico border, and Hispanics in the U.S. Covers political, economic, social issues, and Latin American arts and letters."
Hispanic Life in America,https://libguides.asu.edu/hispaniclifeamerica,"Comprehensive coverage of the Hispanic American experience from earliest times to today. Sourced from nearly 17,500 American and global newspapers, including almost 450 Hispanic American newspapers. Provides full-text searching as well as access to content by Topic, Event, and Eras in Hispanic American History. Updated daily."
Historical Abstracts with Full Text,https://libguides.asu.edu/historicalabstracts,"Database covers the history of the world, excluding the United States and Canada, from 1450 to present with indexing to historical articles from more than 1800 journals in over 40 languages published since 1955. Citations to books, dissertations and theses are included plus the full text of more than 349 journals and more than 120 books. The related disciplines of archeology, anthropology and sociology are also covered."
Historical Statistics of the United States - Millennial Edition,https://libguides.asu.edu/historicalstatsus,"Extensive U.S. social, economic, and governmental time-series data from Colonial times to 2000, with tools to graph, combine, and download data for historical analysis."
History Commons,https://libguides.asu.edu/history-commons,"Primary sources documenting social justice, political unrest, and cultural shifts in North America and Europe through newspapers, government records, and archives."
History of Christianity,https://libguides.asu.edu/histchristianity,"Maximum Concurrent Users:UnlimitedThis 6 part streaming video series examines the origins of Christianity and delves into what it means to be a Christian. The series uncovers how a small Jewish sect that preached humility became the biggest religion in the world. The series includes subjects from Palestine in the first century to India in the third, from Damascus to China in the seventh century and from San Francisco to Korea in the twentieth. The series is a BBC co-production with the Open University and Jerusalem Productions."
"History Vault: American Indians and the American West, 1809-1971",https://libguides.asu.edu/histvaultamind,"Digitized archival primary sources, including government records, correspondence and personal narratives, documenting relationships among Indigenous peoples, federal authorities and settlers in the American West."
History Vault: Black Freedom Struggle in the 20th Century: Organizational Records and Personal Papers,https://libguides.asu.edu/histvaultbfs,"Includes the records of the Student Nonviolent Coordinating Committee (SNCC), the Africa-related papers of Claude Barnett, the Robert F. Williams Papers, the Arthur W. Mitchell papers, and the papers of the Congress of Racial Equity."
"HIV, AIDS & the Arts (Reveal Digital)",https://libguides.asu.edu/hiv-aids-arts,"Open-access archive of primary sources, including manuscripts and visual art, showcasing how artists globally responded to the HIV/AIDS epidemic through creative expression."
Homeland Security Digital Library (HSDL),https://libguides.asu.edu/hsdl,"Search the nation's premier collection of documents related to homeland security policy, strategy, and organizational management."
Humanities & Social Sciences Index Retrospective: 1907-1984 (H.W. Wilson),https://libguides.asu.edu/hssretro19071984,Bibliographic database that provides citations to articles in a wide range of English language journals in the humanities and social sciences for the period 1907-1984.
Humanities Full Text (H.W. Wilson),https://libguides.asu.edu/humanitiesft,"Indexes articles in the fields of archaeology and classical studies, film, folklore, gender studies, history, journalism, communications,language, literature, literary and political criticism, performing arts, philosophy, religion, etc."
IBISWorld,https://libguides.asu.edu/ibisworld,"Access industry reports for over 1,000 US industries, along with global reports, particularly for the UK, Australia, Canada, and China."
IBZ Online,https://libguides.asu.edu/ibz-online,"Indexes international scholarly journal articles across the humanities, social sciences, and interdisciplinary fields in more than 40 languages, with coverage from 1983 to the present."
ICLR,https://libguides.asu.edu/iclr,"Access to UK case law, including official law reports and unreported judgments, with AI-powered search features, case analysis tools, and up-to-date judicial information dating back to 1865. Includes AI assistantCase Genie"
ICPSR,https://libguides.asu.edu/icpsr,"Global archive and research infrastructure that enables users to discover, access, and analyze curated quantitative data and rich metadata for research, teaching, and secondary analysis across various topics."
IEEE Xplore,https://libguides.asu.edu/ieexplore,"Full-text documents in electrical engineering, computer science, and related fields, including peer-reviewed journals, conference proceedings, standards, and eBooks to support advanced research and innovation."
IFS Online,https://libguides.asu.edu/ifsonline,"Global economic and financial statistics from the International Monetary Fund, including exchange rates, liquidity, banking, interest rates, and national accounts."
Illiustrirovannaia Rossiia Digital Archive,https://libguides.asu.edu/irda,"Trial access ends March 12, 2026. Search or browse full-page digitization of “Illustrirovannaia Rossiia”, a Russian-language illustrated weekly from Paris that reflects the literary and cultural life of the interwar émigré community.Please submit feedback to support continued access."
IMF Data,https://libguides.asu.edu/financialsound,"Access the IMF’s economic and financial data via an interactive portal to explore global indicators, compare trends, and download data for analysis."
Imperial Russian Newspapers,https://libguides.asu.edu/imperial-russian-newspapers,"Digitized Russian-language newspapers from 1767–1918 offer insights into political, cultural, and social life across the Russian Empire, including content from Moscow, St. Petersburg, and regional centers."
In Principio,https://libguides.asu.edu/inprincipio,"Index to one million incipits covering Latin literature from its origins to the Renaissance. A research tool for scholars and libraries interested in the writers, texts and manuscripts of Antiquity, the Middle Ages and the Renaissance."
Independent Voices (Reveal Digital),https://libguides.asu.edu/independent-voices,"Open access collection of alternative press newspapers, magazines, and journals produced by feminists, dissident GIs, campus radicals, Native Americans, anti-war activists, Black Power advocates, Hispanics, LGBT activists, and the extreme right-wing press, reflects diverse voices from the latter half of the 20th century."
Index Islamicus,https://libguides.asu.edu/idxislamicus,"Coverage:1906+Maximum Concurrent Users:UnlimitedIndex Islamicus database indexes literature on Islam, the Middle East and the Muslim world. It is produced by the Islamic Bibliography Unit at CambridgeUniversity Library. The Unit was established in 1983 to continue the compilations and publications of the Index Islamicus bibliography and to transmit knowledge about Islamic and Middle East studies, which have been part of the curriculum at CambridgeUniversity since the early 17th century. Records included in the database cover almost a century of publications, with some going back to 1906. Material cited in the Index Islamicus includes not only work written about the Middle East, but also about the other main Muslim areas of Asia and Africa, plus Muslim minorities elsewhere. Over 2,000 journals are monitored for inclusion in the database, together with conference proceedings, monographs, multi-authored works and book reviews. Journals and books are indexed down to the article and chapter level."
Index to Foreign Legal Periodicals (IFLP),https://libguides.asu.edu/hol-iflp,"Multilingual index to articles & book reviews published worldwide. Covers international (public & private), comparative & municipal law of countries other than the United States, the U.K., Canada & Australia. Coverage from 1984-present, updated quarterly."
Index to Jewish Periodicals,https://libguides.asu.edu/jewishperios,"Covers English-language articles, book reviews, and essays from hundreds of periodicals, including peer-reviewed journals, focused on Jewish history and culture as well as contemporary affairs."
Index to Legal Periodicals Retrospective: 1908-1981 (H.W. Wilson),https://libguides.asu.edu/legalperios19081981,"This retrospective database indexes legal periodicals published in the United States, Canada, Great Britain, Ireland, Australia and New Zealand. Annual surveys of the laws of a jurisdiction, annual surveys of the federal courts, yearbooks, annual institutes, and annual reviews are also covered."
Index Translationum,https://libguides.asu.edu/translationum,"Coverage:1979 +Maximum Concurrent Users:UnlimitedThe Index Translationum includes a list of all translated books, covering all disciplines and over 500 languages including English."
Indian Claims Insight,https://libguides.asu.edu/proqindian,"Provides insight into Native American migration, resettlement, and legal claims against the U.S. through court materials, treaties, maps, and congressional documentation."
Indigenous Histories and Cultures in North America,https://libguides.asu.edu/amerindianhistcult,"American Indian Histories and Cultures contains primary source material such as manuscripts, maps, journals, photographs and drawings which examine the interaction between American Indians and Europeans in the Americans through the late 20th century."
Indigenous Life in America,https://libguides.asu.edu/ILIAX,"Documents Indigenous Americans' experiences and impacts as reported by the news media from the 17th to the 21st century, highlighting cultural contributions and ongoing challenges under settler colonialism."
Indigenous Newspapers in North America,https://libguides.asu.edu/americanindiannews,"A diverse collection of print journalism from Indigenous peoples in the US and Canada spanning over 9,000 editions from 1828-2016. It includes national, local, and student publications, with highlights like the Ak-Chin O'odham Runner, Navajo Times, and Hopi Action News."
Indigenous Peoples of North America (Gale Primary Sources),https://libguides.asu.edu/indigenouspeoplesna,"Indigenous Peoples: North America includes manuscripts, monographs, newspapers, photographs, motion pictures, government documents, and images of artwork on the historical experiences, cultural traditions and innovations, and political status of Indigenous peoples in the United States and Canada."
Indigenous Peoples Social Justice & Culture,https://libguides.asu.edu/hc-ipsjc,"Documents Indigenous perspectives and struggles through community media, oral histories, and organizational records to support decolonial and cultural research."
IngentaConnect,https://libguides.asu.edu/ingentaconnect,"Contains citations to articles taken from tables of contents of more than 25,000 journal titles held by libraries throughout the United States. An online document delivery system enables users to request the complete text of articles for a fee."
Insider Intelligence,https://libguides.asu.edu/emarketer,"Current and historical data from thousands of sources compiled into various charts, tables, graphs, reports, and other means of visualization for use in many industries and disciplines. Information is international in scope and can be searched geographically, by industry, by topic, and by demographics."
Inspec,https://libguides.asu.edu/inspec,"A global index of scientific and technical literature in physics, engineering, and computer science, accessible through Engineering Village, with coverage dating back to 1898."
Inspec Analytics,https://libguides.asu.edu/inspecanalytics,"Explore connections between subject terms and classification codes, track research topics and citations, and generate charts and graphs from the data."
Intergovernmental Committee On Refugees: The West's Response To Jewish Emigration,https://libguides.asu.edu/icrwrje,"A digital collection documenting efforts to resettle refugees from Europe during the Nazi era, including memoranda, government documents, correspondence, and records from 1938 to 1948, capturing the international response to Jewish and other refugees."
International Bibliography of Art (IBA),https://libguides.asu.edu/iba,"Maximum Concurrent Users:UnlimitedIBA provides authoritative coverage of international scholarship:  European art from late antiquity to the present, American art from the colonial era to the present, and global art since 1945.  Visual arts in all media are covered: painting, sculpture, drawing, video, installations, new media, decorative and applied arts, museum studies and conservation, archaeology, folk art and material culture, classical studies, antiques, architectural history.  It covers core journals, plus detailed coverage of monographs, essay collections, conference proceedings and exhibition catalogues. IBA is the successor to the Bibliography of the History of Art (BHA), and includes records created by the Getty Research Institute in 2008-09."
International Bibliography of Theatre & Dance with Full Text,https://libguides.asu.edu/ibtd,"In‑depth, expertly indexed coverage of theatre and dance scholarship enriched with full‑text access to leading performing‑arts journals and monographs."
International Medieval Bibliography,https://libguides.asu.edu/imbo,"Multilingual database indexing journal articles, essay collections, and conference proceedings on the Middle Ages in Europe, the Middle East, and North Africa."
International Monetary Fund Periodicals,https://libguides.asu.edu/imfp,Maximum Concurrent Users:5Accesses the periodicals on global economic and financial issues published by the International Monetary Fund (IMF).
International Nuclear Information System (INIS),https://libguides.asu.edu/inis,"Open-access resource providing global coverage of scientific and technical literature on nuclear science and technology, including engineering, safety, and peaceful applications."
International Tables for Crystallography,https://libguides.asu.edu/tablescrystall,"A key reference for crystallography, providing comprehensive data on methods, symmetry, and structural details. It supports researchers with in-depth mathematical and physical information, crucial for analyzing crystal and molecular structures."
Introduction to Composite Materials,https://libguides.asu.edu/introcompmat,"A foundational text and reference on composite materials, covering their properties, manufacturing methods, and applications. It serves as a practical guide for students and professionals exploring the design, analysis, and uses of composites in various engineering fields."
IOPScience,https://libguides.asu.edu/instphysics,Full text of selected Institute of Physics (IOP) journals.
Iskusstvo Kino Digital Archive (DA-IK),https://libguides.asu.edu/iskusstvo,"Renowned as one of Russia's premier journals of cinema, Iskusstvo kino offers more than Russian and foreign movie reviews, articles on filmmaking and cinema culture, criticism, and essays. Iskusstvo kino traces Russian arts and culture from the 'socialist realism' era through contemporary filmmaking"
Izvestiia Digital Archive,https://libguides.asu.edu/izvestiia,"Izvestiia (Известия) Digital Archive covers the ""complete archive"" of Izvestiia (Известия), from its founding in 1917 through present. The database presents ""the Kremlin’s newspaper of record"" as full-image text searchable files."
JapanKnowledge,https://libguides.asu.edu/japanknowledge,"An extensive online reference portal that allows users to cross-search Japanese encyclopedias, dictionaries, curated book series, and selected periodicals from Japan."
Jewish Studies Source,https://libguides.asu.edu/jewishstudies,"Covers several hundred full-text titles, including leading Jewish Studies academic journals, monographs, related articles from major periodicals and newspapers."
Johns Hopkins Guide to Literary Theory & Criticism,https://libguides.asu.edu/johnhopkinslit,"Entries arranged alphabetically on critics, theorists, schools, movements, and innovations in specific countries and historical periods."
JSTOR,https://libguides.asu.edu/jstor,"Access millions of articles, books, and primary sources, focusing on back issues of scholarly journals; an essential resource for research in the humanities, social sciences, and sciences. Includes AI assistant: JSTOR'sinteractive research tool."
JSTOR Daily,https://libguides.asu.edu/jstordaily,"A free daily magazine contextualizes current events and features articles that explore the hidden depths of newsy topics. All stories link to free, publicly accessible research on JSTOR."
JSTOR Global Plants,https://libguides.asu.edu/jstorglobalplants,"The largest digitized collection of plant specimens from global herbaria, aiding research, classification, and preservation of botanical data for future studies."
Judaica Sound Archives,https://libguides.asu.edu/judaicasounds,Digitized Jewish sound recordings offer on-demand streaming of music and audio that reflects Jewish cultural and historical traditions.
Kanopy,https://libguides.asu.edu/kanopy,"Streaming video service, which provides access to titles covering various educational topics and feature films for various producers including Criterion, Documentary Educational Resources, New Day Films, Media Education, California Newsreel, PBS, and others."
Kanopy: Criterion Collection,https://libguides.asu.edu/criterioncollection,"Since 1984, the Criterion Collection, a continuing series of important classic and contemporary films, has been dedicated to gathering the greatest award-winning early cinema, foreign cinema and Hollywood films from around the world. This collection includes 590 films, presented uncut, as its maker intended it to be seen."
Key Business Ratios (KBR),https://libguides.asu.edu/kbr,"Industry financial benchmarks from Dun & Bradstreet to evaluate company performance by sector, asset size, and classification codes using key ratios like profitability, efficiency, and solvency."
Kluwer Arbitration,https://libguides.asu.edu/kluwerarbitration,Kluwer Arbitration provides resources for international arbitration research. It contains commentary from expert authors and an extensive collection of primary source materials. Access to materials including ICC cases and awards is provided.
Knovel,https://libguides.asu.edu/knovel,"Access thousands of engineering, technology, and science reference works, including data searching tools, a periodic table, unit converters, and interactive equations for research and problem-solving."
Kokushi daijiten (Historical Dictionary of Japan),https://libguides.asu.edu/kokushijapan,Online version of one of the essential dictionaries of Japanese history (in Japanese).
Koreanstudies Information Service System,https://libguides.asu.edu/koreanstudiesiss,"Coverage:1945 +Maximum Concurrent Users:UnlimitedFull text database of Korean scholarly journal articles, university publications and research papers published by research institutions in Korea. Includes full-text articles and covers most of the subject areas published since 1945."
Kotobarabia Modern Arab Renaissance Collection,https://libguides.asu.edu/kotobarabia,"An e-book collection of leading authors from around the Arab world. Includes over 11,000 titles. Classified by 27 genres and subject areas. Searchable by author, title, subject and/or keywords."
Krasnyi Arkhiv Digital Archive (DA-KAR),https://libguides.asu.edu/krasnyi,"Krasnyi arkhiv was a scholarly historical journal published in Moscow in 1922-1941. Published important archival materials on the history of Tsarist Russia and the early years of the Soviet Union. The Krasnyi Arkhiv. Digital Archive contains the entire collection (106 volumes, 1,010 articles, more than 23,000 pages), completely digitized with full-image browsing and full-text article-level search and browse functions."
Krokodil Digital Archive,https://libguides.asu.edu/krokodil,"A satirical Soviet magazine which began publishing in 1922.Useful for understanding Soviet political science, history and literature."
KRpia Korean Studies Database,https://libguides.asu.edu/krpiastudies,"KRpia is a full-text database including reference works and primary sources such as dictionaries, encyclopedias, and archival material on Korean history, literature, civilization etc."
L’Année Philologique (BREPOLiS),https://libguides.asu.edu/lanneephilologint,"Digital version of L'Année philologique (provided through the Société Internationale de Bibliographie Classique), is an international, multi-lingual bibliography database of all aspects of classical studies."
Latin American Drama,https://libguides.asu.edu/ldra,"Explore over 500 plays by Latin American playwrights from the 19th to 21st centuries. This collection is vital for studying Latin American literature, history, and cultural diversity."
LatinNews,https://libguides.asu.edu/latinamnewsletters,"Coverage:1967+Maximum Concurrent Users:UnlimitedAn online collection of current news sources in English comprised of local news digests from Latin America and the Caribbean, regional reports, personal briefings, special bulletins, research analyses, 5-year forecasts, and more."
"Latino Literature: Poetry, Drama, and Fiction",https://libguides.asu.edu/latinoliterature,"Coverage:1850+Maximum Concurrent Users:UnlimitedFeatures hundreds of published and unpublished plays and thousands of pages of poetry and fiction from authors of Puerto Rican, Dominican, Chicano, Central American, South American, and Cuban descent. The plays, poems, and prose touch on many topics but often return to the unique experiences of being Latino in the United States."
Law.com,https://libguides.asu.edu/law-com,"Legal news, expert analysis, and industry insights across various practice areas, jurisdictions, and legal sectors make it an essential resource for legal professionals and researchers seeking current developments and trends."
LearnTechLib,https://libguides.asu.edu/learntechlib,"Curated collection of peer-reviewed research and resources exploring developments and applications in educational technology, e-learning, and digital pedagogy."
Lecture Notes in Computer Science,https://libguides.asu.edu/notescompsci,"A series of research volumes covering the latest in computer science and information technology. It includes conference proceedings, tutorials, and research findings, supporting students, educators, and professionals in advancing CS knowledge."
Leisure Tourism Collection,https://libguides.asu.edu/leisuretourism,"Find scholarly articles, eBooks, news, and abstracts on tourism, hospitality, recreation, sports, and cultural studies, supporting research in policy, planning, sustainability, and education."
LGBTQ+ Social Justice & Culture,https://libguides.asu.edu/hc-lgbtq-sjc,"Global LGBTQ+ voices through personal narratives, media, and archives to support equity-focused research, advocacy, and historical understanding."
LGBTQ+ Source,https://libguides.asu.edu/LGBTQsource,"The premier database for LGBTQ+ studies offers full-text scholarly and popular publications, primary sources, books, magazines, and newspapers, along with a specialized thesaurus featuring thousands of terms."
Library Literature & Information Science Index (H.W. Wilson),https://libguides.asu.edu/liblitinssci,"A key library and information science database offering cover-to-cover indexing from over 400 journals and 300 books annually, including chapters from collected works, conference proceedings, theses, and pamphlets."
Library of Latin Texts,https://libguides.asu.edu/latintexts,"A searchable corpus of Latin literature from antiquity to modern times, including classical, patristic, medieval, and neo-Latin texts in edited versions."
"Library, Information Science & Technology Abstracts",https://libguides.asu.edu/libinfscitech,"Database of articles, books, research reports, and conference proceedings on library and information science. With coverage dating back to the 1960s, it is the oldest continuously produced database covering the field of information science."
Life and Times of Jorge Luis Borges,https://libguides.asu.edu/jorgeluisborges,"Coverage:1923+Maximum Concurrent Users:UnlimitedThis database contains the largest collection of materials related to one of the 20th centurie’s most important literary, intellectual, and cultural figures. Includes a complete primary bibliography of his works, a secondary bibliography of articles about Borges, interviews, criticism, and news articles. Full-text for many of the articles about Borges is included. Although the full-text of Borges' works is not included, the database provides a full-text search capability for these texts with information on how to locate the full-text for works cited. Navigational menus are in Spanish only."
